Word;Description
reef;A ridge of jagged rock, coral, or sand just above or below the surface of the sea.
fern;A type of plant that has feather-like leaves and reproduces via spores, often found in moist, forest settings.
peak;The pointed top of a mountain.
glen;A narrow valley, especially in Scotland.
isle;A small island or peninsula, especially a scenic one.
pond;A small body of still water formed naturally or by artificial means.
rill;A small stream or brook.
dune;A mound or ridge of sand formed by the wind, usually along the beach or in a desert.
moss;A small, green, non-flowering plant that grows in dense clumps or mats, often in damp or shady locations.
cliff;A steep rock face, especially at the edge of the sea.
cove;A small, sheltered bay on the coast.
bark;The outer protective layer of a tree's trunk.
leaf;The flat, typically green part of a plant, attached to a stem.
haze;A slight obscuration of the lower atmosphere, typically caused by fine suspended particles.
tide;The regular rising and falling of the sea, influenced by the moon's gravity.
mist;A cloud of tiny water droplets suspended in the atmosphere at or near the earth's surface that limits visibility.
flora;The plants of a particular region, habitat, or geological period.
fauna;The animals of a particular region, habitat, or geological period.
gulf;A large area of sea partially enclosed by land.
mire;A stretch of swampy or boggy ground.
brook;A small, natural stream of fresh water.
summit;The highest point of a hill or mountain.
grove;A small group of trees, typically without undergrowth.
marsh;A wetland area typically dominated by grasses and reeds.
firth;A long, narrow inlet of the sea, especially in Scotland.
knoll;A small hill or mound.
crag;A steep or rugged cliff or rock face.
vista;A pleasing view, especially one seen through a long, narrow opening.
delta;A landform at the mouth of a river created by sediment deposits.
bluff;A steep cliff, bank, or promontory.
rift;A crack, split, or break in something, particularly in the earth's surface.
silt;Fine sand, clay, or other material carried by running water and deposited as a sediment.
cape;A point of land that extends into a river, lake, or ocean.
glade;An open space in a forest.
thorn;A sharp, pointed spine or prong on a plant or branch.
reef;A ridge of jagged rock, coral, or sand just above or below the surface of the sea.
loom;To appear as a shadowy form, especially one that is large or threatening.
vein;A distinct layer of minerals within a rock, often visible and different from the surrounding material.
nest;A structure or place made or chosen by a bird for laying eggs and sheltering its young.
hull;The main body of a ship or other vessel, including the bottom, sides, and deck but not the masts, superstructure, rigging, engines, and other fittings.
